Date,Forecast,Lower CI,Upper CI
2025-02-28,7570.21635061937,-108174.62594641496,123315.05864765371
2025-03-31,-34044.76619329506,-218346.4177288817,150256.88534229156
2025-04-30,-68022.58628880816,-301554.87313360337,165509.70055598702
2025-05-31,-79659.49420141711,-353717.0780030937,194398.08960025953
2025-06-30,-89371.40460470441,-398689.67027852626,219946.86106911744
2025-07-31,-112379.02238634037,-453330.66077468166,228572.61600200093
