Date,Forecast,Lower CI,Upper CI
2025-02-28,372.56846335432215,-39115.5435057649,39860.68043247354
2025-03-31,-23873.87904310907,-78775.41998920063,31027.66190298249
2025-04-30,-42826.409474107444,-109703.50759391463,24050.688645699753
2025-05-31,-68786.53920996582,-145798.18788293484,8225.109463003202
2025-06-30,-89641.19968890377,-175600.7592122384,-3681.6401655691443
2025-07-31,-111077.25779969677,-205137.33209857228,-17017.183500821266
